,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
1867,3066,A32,crossed,head initial,4,"[0,[[3,[[1,1]]]]]",False,valtal tontin kolkul kolkul rae rae moy,valtal tontin kolkul kolkul rae rae moy,vtkkrrm,vtkkrrm,1.0,vkst,left,atop,vrtrkmk,vmtmkrk,kmkrtrv,krkmtmv,vrtrkmk,vmtmkrk,kmkrtrv,krkmtmv,kmkrtrv,krkmtmv,vrtrkmk,vmtmkrk,kmkrtrv,krkmtmv,vrtrkmk,vmtmkrk,vtkkmrr,vtkkrmm,kktvrrm,kktvmmr,vtkkmrr,vtkkrmm,kktvrrm,kktvmmr,rrmkktv,mmrkktv,mrrvtkk,rmmvtkk,rrmkktv,mmrkktv,mrrvtkk,rmmvtkk,rrmvtkk,mmrvtkk,mrrkktv,rmmkktv,rrmvtkk,mmrvtkk,mrrkktv,rmmkktv,vtkkrrm,vtkkmmr,kktvmrr,kktvrmm,vtkkrrm,vtkkmmr,kktvmrr,kktvrmm,mrrkktv,rmmkktv,rrmvtkk,mmrvtkk,mrrkktv,rmmkktv,rrmvtkk,mmrvtkk,kktvmrr,kktvrmm,vtkkrrm,vtkkmmr,kktvmrr,kktvrmm,vtkkrrm,vtkkmmr
1868,3067,A32,crossed,head initial,4,"[[[0,1],0],[2]]",False,valtal kolkul valtal siso moy moy rae,valtal kolkul valtal siso moy moy rae,vkvsmmr,vkvsmmr,1.0,vkst,left,atop,vmkmvrs,vrkmvms,srvmkmv,smvrkmv,vmkmvrs,vmkrvms,srvmkmv,smvmkrv,srvmkmv,smvmkrv,vmkmvrs,vmkrvms,srvmkmv,smvrkmv,vmkmvrs,vrkmvms,vkvsrmm,vkvsmmr,svkvmmr,svkvmrm,vkvsrmm,vkvsmrm,svkvmmr,svkvrmm,mmrsvkv,rmmsvkv,rmmvkvs,mrmvkvs,mmrsvkv,mrmsvkv,rmmvkvs,mmrvkvs,mmrvkvs,rmmvkvs,rmmsvkv,mrmsvkv,mmrvkvs,mrmvkvs,rmmsvkv,mmrsvkv,vkvsmmr,vkvsrmm,svkvrmm,svkvmrm,vkvsmmr,vkvsmrm,svkvrmm,svkvmmr,rmmsvkv,mmrsvkv,mmrvkvs,mrmvkvs,rmmsvkv,mrmsvkv,mmrvkvs,rmmvkvs,svkvrmm,svkvmmr,vkvsmmr,vkvsmrm,svkvrmm,svkvmrm,vkvsmmr,vkvsrmm
1869,3068,A32,crossed,head initial,4,"[[[2,0],1],2]",False,siso valtal kolkul siso moy moy moy,siso valtal kolkul siso moy moy moy,svksmmm,svksmmm,1.0,vkst,left,atop,smvmkms,srvmkrs,smvmkms,srvmkrs,smkmvms,srkmvrs,smkmvms,srkmvrs,smkmvms,srkmvrs,smkmvms,srkmvrs,smvmkms,srvmkrs,smvmkms,srvmkrs,svksmmm,svksrmr,svksmmm,svksrmr,skvsmmm,skvsrmr,skvsmmm,skvsrmr,mmmskvs,rmrskvs,mmmskvs,rmrskvs,mmmsvks,rmrsvks,mmmsvks,rmrsvks,mmmsvks,rmrsvks,mmmsvks,rmrsvks,mmmskvs,rmrskvs,mmmskvs,rmrskvs,svksmmm,svksrmr,svksmmm,svksrmr,skvsmmm,skvsrmr,skvsmmm,skvsrmr,mmmskvs,rmrskvs,mmmskvs,rmrskvs,mmmsvks,rmrsvks,mmmsvks,rmrsvks,skvsmmm,skvsrmr,skvsmmm,skvsrmr,svksmmm,svksrmr,svksmmm,svksrmr
1871,3070,A32,crossed,head initial,4,"[[[2,[1]],[2]],[3]]",False,siso kolkul siso tontin rae rae rae,siso kolkul siso tontin rae rae rae,skstrrr,skstrrr,1.0,vkst,left,atop,srkrsrt,smkrsmt,trsrkrs,tmsrkms,srkrsrt,smkrsmt,trsrkrs,tmsrkms,trsrkrs,tmsrkms,srkrsrt,smkrsmt,trsrkrs,tmsrkms,srkrsrt,smkrsmt,skstrrr,skstmrm,tsksrrr,tsksmrm,skstrrr,skstmrm,tsksrrr,tsksmrm,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrskst,mrmskst,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrtsks,mrmtsks,skstrrr,skstmrm,tsksrrr,tsksmrm,skstrrr,skstmrm,tsksrrr,tsksmrm,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrtsks,mrmtsks,rrrskst,mrmskst,tsksrrr,tsksmrm,skstrrr,skstmrm,tsksrrr,tsksmrm,skstrrr,skstmrm
1872,3071,A32,crossed,head initial,4,"[2,[0,[[2,3]]]]",False,siso valtal siso tontin moy rae moy,siso valtal siso tontin moy rae moy,svstmrm,svstmrm,1.0,vkst,left,atop,smvrsmt,srvrsmt,smsmtrv,srsmtrv,vrtmsms,vrtmsrs,tmsrvms,tmsrvrs,tmsrvms,tmsrvrs,vrtmsms,vrtmsrs,smsmtrv,srsmtrv,smvrsmt,srvrsmt,svstmrm,svstmrr,sstvrmm,sstvrmr,vtssmmr,vtssrmr,tsvsmrm,tsvsrrm,mrmtsvs,rrmtsvs,mmrvtss,rmrvtss,rmmsstv,rmrsstv,mrmsvst,mrrsvst,mrmsvst,rrmsvst,mmrsstv,rmrsstv,rmmvtss,rmrvtss,mrmtsvs,mrrtsvs,svstmrm,svstrrm,sstvmmr,sstvrmr,vtssrmm,vtssrmr,tsvsmrm,tsvsmrr,mrmtsvs,mrrtsvs,rmmvtss,rmrvtss,mmrsstv,rmrsstv,mrmsvst,rrmsvst,tsvsmrm,tsvsmrr,vtssrmm,vtssrmr,sstvmmr,sstvrmr,svstmrm,svstrrm
1873,3072,A32,crossed,head initial,4,"[[[1,[1]],3],0]",False,kolkul kolkul tontin valtal rae moy moy,kolkul kolkul tontin valtal rae moy moy,kktvrmm,kktvrmm,1.0,vkst,left,atop,krkmtmv,kmkmtrv,krkmtmv,kmkmtrv,vmtmkrk,vrtmkmk,vmtmkrk,vrtmkmk,vmtmkrk,vrtmkmk,vmtmkrk,vrtmkmk,krkmtmv,kmkmtrv,krkmtmv,kmkmtrv,kktvmmr,kktvrmm,kktvmmr,kktvrmm,vtkkrmm,vtkkmmr,vtkkrmm,vtkkmmr,rmmvtkk,mmrvtkk,rmmvtkk,mmrvtkk,mmrkktv,rmmkktv,mmrkktv,rmmkktv,rmmkktv,mmrkktv,rmmkktv,mmrkktv,mmrvtkk,rmmvtkk,mmrvtkk,rmmvtkk,kktvrmm,kktvmmr,kktvrmm,kktvmmr,vtkkmmr,vtkkrmm,vtkkmmr,vtkkrmm,mmrvtkk,rmmvtkk,mmrvtkk,rmmvtkk,rmmkktv,mmrkktv,rmmkktv,mmrkktv,vtkkmmr,vtkkrmm,vtkkmmr,vtkkrmm,kktvrmm,kktvmmr,kktvrmm,kktvmmr
1874,3073,A32,crossed,head initial,4,"[[[1,[0]],[0]],1]",False,kolkul valtal valtal kolkul rae rae moy,kolkul valtal valtal kolkul rae rae moy,kvvkrrm,kvvkrrm,1.0,vkst,left,atop,krvrvmk,kmvrvrk,vrvrkmk,vrvmkrk,kmkrvrv,krkmvrv,kmvrvrk,krvrvmk,kmvrvrk,krvrvmk,kmkrvrv,krkmvrv,vrvrkmk,vrvmkrk,krvrvmk,kmvrvrk,kvvkmrr,kvvkrrm,vvkkmrr,vvkkrmr,kkvvrrm,kkvvrmr,kvvkrrm,kvvkmrr,rrmkvvk,mrrkvvk,rrmkkvv,rmrkkvv,mrrvvkk,rmrvvkk,mrrkvvk,rrmkvvk,rrmkvvk,mrrkvvk,rrmvvkk,rmrvvkk,mrrkkvv,rmrkkvv,mrrkvvk,rrmkvvk,kvvkrrm,kvvkmrr,vvkkrrm,vvkkrmr,kkvvmrr,kkvvrmr,kvvkmrr,kvvkrrm,mrrkvvk,rrmkvvk,mrrkkvv,rmrkkvv,rrmvvkk,rmrvvkk,rrmkvvk,mrrkvvk,kvvkmrr,kvvkrrm,kkvvmrr,kkvvrmr,vvkkrrm,vvkkrmr,kvvkrrm,kvvkmrr
1857,3056,A32,crossed,head initial,3,"[1,[3,[3]]]",True,kolkul tontin tontin moy rae,kolkul tontin tontin moy rae,kttmr,kttmr,1.0,vkst,left,atop,kmtrt,krtrt,kmtrt,krtrt,trtmk,trtrk,trtmk,trtrk,trtmk,trtrk,trtmk,trtrk,kmtrt,krtrt,kmtrt,krtrt,kttrm,kttrr,kttrm,kttrr,ttkmr,ttkrr,ttkmr,ttkrr,mrttk,rrttk,mrttk,rrttk,rmktt,rrktt,rmktt,rrktt,mrktt,rrktt,mrktt,rrktt,rmttk,rrttk,rmttk,rrttk,kttmr,kttrr,kttmr,kttrr,ttkrm,ttkrr,ttkrm,ttkrr,rmttk,rrttk,rmttk,rrttk,mrktt,rrktt,mrktt,rrktt,ttkrm,ttkrr,ttkrm,ttkrr,kttmr,kttrr,kttmr,kttrr
1866,3065,A32,crossed,head initial,4,"[[[3,1],[3]],3]",False,tontin kolkul tontin tontin moy rae moy,tontin kolkul tontin tontin moy rae moy,tkttmrm,tkttmrm,1.0,vkst,left,atop,tmkrtmt,trkrtrt,trtmkmt,trtrkrt,tmkmtrt,trkrtrt,tmtrkmt,trtrkrt,tmtrkmt,trtrkrt,tmkmtrt,trkrtrt,trtmkmt,trtrkrt,tmkrtmt,trkrtrt,tkttmrm,tkttrrr,ttktmmr,ttktrrr,tkttrmm,tkttrrr,ttktmrm,ttktrrr,mrmttkt,rrrttkt,rmmtktt,rrrtktt,mmrttkt,rrrttkt,mrmtktt,rrrtktt,mrmtktt,rrrtktt,rmmttkt,rrrttkt,mmrtktt,rrrtktt,mrmttkt,rrrttkt,tkttmrm,tkttrrr,ttktrmm,ttktrrr,tkttmmr,tkttrrr,ttktmrm,ttktrrr,mrmttkt,rrrttkt,mmrtktt,rrrtktt,rmmttkt,rrrttkt,mrmtktt,rrrtktt,ttktmrm,ttktrrr,tkttmmr,tkttrrr,ttktrmm,ttktrrr,tkttmrm,tkttrrr
1856,3055,A32,crossed,head initial,3,"[[1,[2]],[2]]",True,kolkul siso siso rae rae,kolkul siso siso rae rae,kssrr,kssrr,1.0,vkst,left,atop,krsrs,krsms,srsrk,smsrk,krsrs,krsms,srsrk,smsrk,srsrk,smsrk,krsrs,krsms,srsrk,smsrk,krsrs,krsms,kssrr,kssmr,sskrr,sskrm,kssrr,kssmr,sskrr,sskrm,rrssk,rmssk,rrkss,mrkss,rrssk,rmssk,rrkss,mrkss,rrkss,rmkss,rrssk,mrssk,rrkss,rmkss,rrssk,mrssk,kssrr,kssrm,sskrr,sskmr,kssrr,kssrm,sskrr,sskmr,rrssk,mrssk,rrkss,rmkss,rrssk,mrssk,rrkss,rmkss,sskrr,sskmr,kssrr,kssrm,sskrr,sskmr,kssrr,kssrm
1875,3074,A32,crossed,head initial,4,"[[[3,3],[0]],[2]]",False,tontin tontin valtal siso moy rae rae,tontin tontin valtal siso moy rae rae,ttvsmrr,ttvsmrr,1.0,vkst,left,atop,tmtrvrs,trtrvms,srvrtmt,smvrtrt,tmtrvrs,trtrvms,srvrtmt,smvrtrt,srvrtmt,smvrtrt,tmtrvrs,trtrvms,srvrtmt,smvrtrt,tmtrvrs,trtrvms,ttvsrrm,ttvsmrr,svttmrr,svttrrm,ttvsrrm,ttvsmrr,svttmrr,svttrrm,mrrsvtt,rrmsvtt,rrmttvs,mrrttvs,mrrsvtt,rrmsvtt,rrmttvs,mrrttvs,mrrttvs,rrmttvs,rrmsvtt,mrrsvtt,mrrttvs,rrmttvs,rrmsvtt,mrrsvtt,ttvsmrr,ttvsrrm,svttrrm,svttmrr,ttvsmrr,ttvsrrm,svttrrm,svttmrr,rrmsvtt,mrrsvtt,mrrttvs,rrmttvs,rrmsvtt,mrrsvtt,mrrttvs,rrmttvs,svttrrm,svttmrr,ttvsmrr,ttvsrrm,svttrrm,svttmrr,ttvsmrr,ttvsrrm
1854,3053,A32,crossed,head initial,3,"[0,[[2,0]]]",True,valtal siso valtal rae moy,valtal siso valtal rae moy,vsvrm,vsvrm,1.0,vkst,left,atop,vrsmv,vmsrv,smvrv,srvmv,vrvms,vmvrs,vmsrv,vrsmv,vmsrv,vrsmv,vrvms,vmvrs,smvrv,srvmv,vrsmv,vmsrv,vsvmr,vsvrm,svvrm,svvmr,vvsmr,vvsrm,vsvrm,vsvmr,rmvsv,mrvsv,mrvvs,rmvvs,rmsvv,mrsvv,mrvsv,rmvsv,rmvsv,mrvsv,mrsvv,rmsvv,rmvvs,mrvvs,mrvsv,rmvsv,vsvrm,vsvmr,svvmr,svvrm,vvsrm,vvsmr,vsvmr,vsvrm,mrvsv,rmvsv,rmvvs,mrvvs,mrsvv,rmsvv,rmvsv,mrvsv,vsvmr,vsvrm,vvsrm,vvsmr,svvmr,svvrm,vsvrm,vsvmr
1836,3035,A32,crossed,head initial,1,0,True,valtal,valtal,v,v,1.0,vkst,left,atop,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
1837,3036,A32,crossed,head initial,1,1,True,kolkul,kolkul,k,k,1.0,vkst,left,atop,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
1838,3037,A32,crossed,head initial,1,2,True,siso,siso,s,s,1.0,vkst,left,atop,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1839,3038,A32,crossed,head initial,1,3,True,tontin,tontin,t,t,1.0,vkst,left,atop,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
1840,3039,A32,crossed,head initial,2,"[3,3]",True,tontin tontin moy,tontin tontin moy,ttm,ttm,1.0,vkst,left,atop,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,ttm,ttr,ttm,ttr,ttm,ttr,ttm,ttr,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,ttm,ttr,ttm,ttr,ttm,ttr,ttm,ttr,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,ttm,ttr,ttm,ttr,ttm,ttr,ttm,ttr
1841,3040,A32,crossed,head initial,2,"[1,3]",True,kolkul tontin moy,kolkul tontin moy,ktm,ktm,1.0,vkst,left,atop,kmt,krt,kmt,krt,tmk,trk,tmk,trk,tmk,trk,tmk,trk,kmt,krt,kmt,krt,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,mkt,rkt,mkt,rkt,mtk,rtk,mtk,rtk,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,tkm,tkr,tkm,tkr,ktm,ktr,ktm,ktr
1842,3041,A32,crossed,head initial,2,"[0,[1]]",True,valtal kolkul rae,valtal kolkul rae,vkr,vkr,1.0,vkst,left,atop,vrk,vmk,krv,kmv,vrk,vmk,krv,kmv,krv,kmv,vrk,vmk,krv,kmv,vrk,vmk,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm
1843,3042,A32,crossed,head initial,2,"[3,[1]]",True,tontin kolkul rae,tontin kolkul rae,tkr,tkr,1.0,vkst,left,atop,trk,tmk,krt,kmt,trk,tmk,krt,kmt,krt,kmt,trk,tmk,krt,kmt,trk,tmk,tkr,tkm,ktr,ktm,tkr,tkm,ktr,ktm,rkt,mkt,rtk,mtk,rkt,mkt,rtk,mtk,rtk,mtk,rkt,mkt,rtk,mtk,rkt,mkt,tkr,tkm,ktr,ktm,tkr,tkm,ktr,ktm,rkt,mkt,rtk,mtk,rkt,mkt,rtk,mtk,ktr,ktm,tkr,tkm,ktr,ktm,tkr,tkm
1844,3043,A32,crossed,head initial,2,"[2,[1]]",True,siso kolkul rae,siso kolkul rae,skr,skr,1.0,vkst,left,atop,srk,smk,krs,kms,srk,smk,krs,kms,krs,kms,srk,smk,krs,kms,srk,smk,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,rsk,msk,rks,mks,rsk,msk,rks,mks,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,ksr,ksm,skr,skm,ksr,ksm,skr,skm
1855,3054,A32,crossed,head initial,3,"[[3,2],[0]]",True,tontin siso valtal moy rae,tontin siso valtal moy rae,tsvmr,tsvmr,1.0,vkst,left,atop,tmsrv,tmsmv,vrtms,vmtms,smtrv,smtmv,vrsmt,vmsmt,vrsmt,vmsmt,smtrv,smtmv,vrtms,vmtms,tmsrv,tmsmv,tsvrm,tsvmm,vtsmr,vtsmm,stvrm,stvmm,vstmr,vstmm,mrvst,mmvst,rmstv,mmstv,mrvts,mmvts,rmtsv,mmtsv,mrtsv,mmtsv,rmvts,mmvts,mrstv,mmstv,rmvst,mmvst,tsvmr,tsvmm,vtsrm,vtsmm,stvmr,stvmm,vstrm,vstmm,rmvst,mmvst,mrstv,mmstv,rmvts,mmvts,mrtsv,mmtsv,vstrm,vstmm,stvmr,stvmm,vtsrm,vtsmm,tsvmr,tsvmm
1846,3045,A32,crossed,head initial,2,"[0,0]",True,valtal valtal moy,valtal valtal moy,vvm,vvm,1.0,vkst,left,atop,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vvm,vvr,vvm,vvr,vvm,vvr,vvm,vvr,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,vvm,vvr,vvm,vvr,vvm,vvr,vvm,vvr,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,vvm,vvr,vvm,vvr,vvm,vvr,vvm,vvr
1847,3046,A32,crossed,head initial,2,"[3,[0]]",True,tontin valtal rae,tontin valtal rae,tvr,tvr,1.0,vkst,left,atop,trv,tmv,vrt,vmt,trv,tmv,vrt,vmt,vrt,vmt,trv,tmv,vrt,vmt,trv,tmv,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm
1848,3047,A32,crossed,head initial,2,"[2,2]",False,siso siso moy,siso siso moy,ssm,ssm,1.0,vkst,left,atop,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr
1849,3048,A32,crossed,head initial,2,"[2,[3]]",False,siso tontin rae,siso tontin rae,str,str,1.0,vkst,left,atop,srt,smt,trs,tms,srt,smt,trs,tms,trs,tms,srt,smt,trs,tms,srt,smt,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,rst,mst,rts,mts,rst,mst,rts,mts,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,tsr,tsm,str,stm,tsr,tsm,str,stm
1850,3049,A32,crossed,head initial,2,"[0,[2]]",False,valtal siso rae,valtal siso rae,vsr,vsr,1.0,vkst,left,atop,vrs,vms,srv,smv,vrs,vms,srv,smv,srv,smv,vrs,vms,srv,smv,vrs,vms,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,rvs,mvs,rsv,msv,rvs,mvs,rsv,msv,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,svr,svm,vsr,vsm,svr,svm,vsr,vsm
1851,3050,A32,crossed,head initial,2,"[0,1]",False,valtal kolkul moy,valtal kolkul moy,vkm,vkm,1.0,vkst,left,atop,vmk,vrk,vmk,vrk,kmv,krv,kmv,krv,kmv,krv,kmv,krv,vmk,vrk,vmk,vrk,vkm,vkr,vkm,vkr,kvm,kvr,kvm,kvr,mkv,rkv,mkv,rkv,mvk,rvk,mvk,rvk,mvk,rvk,mvk,rvk,mkv,rkv,mkv,rkv,vkm,vkr,vkm,vkr,kvm,kvr,kvm,kvr,mkv,rkv,mkv,rkv,mvk,rvk,mvk,rvk,kvm,kvr,kvm,kvr,vkm,vkr,vkm,vkr
1852,3051,A32,crossed,head initial,3,"[[3,[3]],[2]]",True,tontin tontin siso rae rae,tontin tontin siso rae rae,ttsrr,ttsrr,1.0,vkst,left,atop,trtrs,trtms,srtrt,smtrt,trtrs,trtms,srtrt,smtrt,srtrt,smtrt,trtrs,trtms,srtrt,smtrt,trtrs,trtms,ttsrr,ttsmr,sttrr,sttrm,ttsrr,ttsmr,sttrr,sttrm,rrstt,rmstt,rrtts,mrtts,rrstt,rmstt,rrtts,mrtts,rrtts,rmtts,rrstt,mrstt,rrtts,rmtts,rrstt,mrstt,ttsrr,ttsrm,sttrr,sttmr,ttsrr,ttsrm,sttrr,sttmr,rrstt,mrstt,rrtts,rmtts,rrstt,mrstt,rrtts,rmtts,sttrr,sttmr,ttsrr,ttsrm,sttrr,sttmr,ttsrr,ttsrm
1853,3052,A32,crossed,head initial,3,"[2,[3,[0]]]",True,siso tontin valtal moy rae,siso tontin valtal moy rae,stvmr,stvmr,1.0,vkst,left,atop,smtrv,srtrv,smvrt,srvrt,trvms,trvrs,vrtms,vrtrs,vrtms,vrtrs,trvms,trvrs,smvrt,srvrt,smtrv,srtrv,stvrm,stvrr,svtrm,svtrr,tvsmr,tvsrr,vtsmr,vtsrr,mrvts,rrvts,mrtvs,rrtvs,rmsvt,rrsvt,rmstv,rrstv,mrstv,rrstv,mrsvt,rrsvt,rmtvs,rrtvs,rmvts,rrvts,stvmr,stvrr,svtmr,svtrr,tvsrm,tvsrr,vtsrm,vtsrr,rmvts,rrvts,rmtvs,rrtvs,mrsvt,rrsvt,mrstv,rrstv,vtsrm,vtsrr,tvsrm,tvsrr,svtmr,svtrr,stvmr,stvrr
1845,3044,A32,crossed,head initial,2,"[2,1]",True,siso kolkul moy,siso kolkul moy,skm,skm,1.0,vkst,left,atop,smk,srk,smk,srk,kms,krs,kms,krs,kms,krs,kms,krs,smk,srk,smk,srk,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,msk,rsk,msk,rsk,mks,rks,mks,rks,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,ksm,ksr,ksm,ksr,skm,skr,skm,skr
